Timestamp,(17) Sorcos vs Saravos,(18) Sorgren vs Sorayla,(19) Farenika vs Claravos,(20) Salvir vs Ibyx,(21) Floreeda vs Lujessa,(22) Raydia vs Ziravos,(23) Momjanne vs Khessanai,(24) Corvia vs Crowcos,(25) Sorcrow vs Soryx,(26) Priestessa vs Sabazi,(27) Pyrren vs Sabos,(28) Runaavos vs Vircrow,(29) Doctorjanne vs Virpeli,(30) Gremaya vs Annai,(31) Aarajanne vs Lirai,(32) Sarex vs Sapeli
25/06/2020 09:53:08,Sorcos (Soren x Marcos),Sorgren (Soren x Gren),I don't want to vote for either of these ships,Salvir (Viren x Saleer),I don't want to vote for either of these ships,Raydia (Rayla x Claudia),I don't want to vote for either of these ships,I don't want to vote for either of these ships,Soryx (Soren x Nyx),Priestessa (Khessa x Sunfire Priest),Sabos (Sabah x Marcos),I don't want to vote for either of these ships,Doctorjanne (Animal Doctor x Lujanne),Gremaya (Gren x Amaya),Lirai (Lissa x Sarai),Sarex (Sarai x Callum's dad)
25/06/2020 10:11:38,Sorcos (Soren x Marcos),Sorgren (Soren x Gren),I don't want to vote for either of these ships,Salvir (Viren x Saleer),Lujessa (Khessa x Lujanne),Raydia (Rayla x Claudia),Momjanne (Ellis's mom x Lujanne),Corvia (Corvus x Claudia),Soryx (Soren x Nyx),Sabazi (Sabah x Kazi),Sabos (Sabah x Marcos),Runaavos (Runaan x Aaravos),Doctorjanne (Animal Doctor x Lujanne),Gremaya (Gren x Amaya),Lirai (Lissa x Sarai),Sarex (Sarai x Callum's dad)
25/06/2020 17:13:33,Saravos (Sarai x Aaravos),Sorayla (Soren x Rayla),Claravos (Claudia x Aaravos),Ibyx (Ibis x Nyx),Floreeda (Fareeda x Florian),I don't want to vote for either of these ships,I don't want to vote for either of these ships,I don't want to vote for either of these ships,Soryx (Soren x Nyx),Priestessa (Khessa x Sunfire Priest),Pyrren (Pyrrah x Soren),I don't want to vote for either of these ships,Virpeli (Opeli x Viren),Gremaya (Gren x Amaya),Aarajanne (Aaravos x Lujanne),Sarex (Sarai x Callum's dad)
25/06/2020 18:29:10,Sorcos (Soren x Marcos),Sorgren (Soren x Gren),Farenika (Fareeda x Annika),Salvir (Viren x Saleer),Lujessa (Khessa x Lujanne),Ziravos (Ziard x Aaravos),Momjanne (Ellis's mom x Lujanne),Crowcos (Marcos x Crow Master),Sorcrow (Soren x Crow Master),Sabazi (Sabah x Kazi),Sabos (Sabah x Marcos),Runaavos (Runaan x Aaravos),Doctorjanne (Animal Doctor x Lujanne),Annai (Annika x Janai),Lirai (Lissa x Sarai),Sarex (Sarai x Callum's dad)
25/06/2020 20:59:31,I don't want to vote for either of these ships,Sorayla (Soren x Rayla),Claravos (Claudia x Aaravos),Ibyx (Ibis x Nyx),Floreeda (Fareeda x Florian),Raydia (Rayla x Claudia),Momjanne (Ellis's mom x Lujanne),Corvia (Corvus x Claudia),Soryx (Soren x Nyx),Sabazi (Sabah x Kazi),Sabos (Sabah x Marcos),Runaavos (Runaan x Aaravos),Virpeli (Opeli x Viren),Annai (Annika x Janai),Aarajanne (Aaravos x Lujanne),Sarex (Sarai x Callum's dad)
25/06/2020 21:09:44,Sorcos (Soren x Marcos),Sorayla (Soren x Rayla),Claravos (Claudia x Aaravos),Salvir (Viren x Saleer),I don't want to vote for either of these ships,Ziravos (Ziard x Aaravos),Khessanai (Khessa x Janai),Crowcos (Marcos x Crow Master),Soryx (Soren x Nyx),I don't want to vote for either of these ships,Pyrren (Pyrrah x Soren),Vircrow (Viren x Crow Master),Virpeli (Opeli x Viren),Gremaya (Gren x Amaya),Lirai (Lissa x Sarai),Sapeli (Saleer x Opeli)
25/06/2020 21:21:30,Sorcos (Soren x Marcos),Sorayla (Soren x Rayla),Farenika (Fareeda x Annika),Ibyx (Ibis x Nyx),Floreeda (Fareeda x Florian),Ziravos (Ziard x Aaravos),Momjanne (Ellis's mom x Lujanne),Crowcos (Marcos x Crow Master),Soryx (Soren x Nyx),Priestessa (Khessa x Sunfire Priest),Sabos (Sabah x Marcos),Runaavos (Runaan x Aaravos),Doctorjanne (Animal Doctor x Lujanne),Gremaya (Gren x Amaya),Lirai (Lissa x Sarai),Sarex (Sarai x Callum's dad)
25/06/2020 21:25:31,I don't want to vote for either of these ships,Sorgren (Soren x Gren),Farenika (Fareeda x Annika),Ibyx (Ibis x Nyx),Lujessa (Khessa x Lujanne),Ziravos (Ziard x Aaravos),Khessanai (Khessa x Janai),Crowcos (Marcos x Crow Master),Sorcrow (Soren x Crow Master),Sabazi (Sabah x Kazi),Pyrren (Pyrrah x Soren),Vircrow (Viren x Crow Master),Virpeli (Opeli x Viren),Gremaya (Gren x Amaya),Lirai (Lissa x Sarai),Sarex (Sarai x Callum's dad)
25/06/2020 22:01:38,Sorcos (Soren x Marcos),Sorgren (Soren x Gren),Claravos (Claudia x Aaravos),Ibyx (Ibis x Nyx),I don't want to vote for either of these ships,Raydia (Rayla x Claudia),Momjanne (Ellis's mom x Lujanne),Crowcos (Marcos x Crow Master),Soryx (Soren x Nyx),Priestessa (Khessa x Sunfire Priest),Sabos (Sabah x Marcos),I don't want to vote for either of these ships,Doctorjanne (Animal Doctor x Lujanne),Gremaya (Gren x Amaya),I don't want to vote for either of these ships,Sarex (Sarai x Callum's dad)
25/06/2020 22:28:42,Saravos (Sarai x Aaravos),Sorayla (Soren x Rayla),Claravos (Claudia x Aaravos),Ibyx (Ibis x Nyx),Lujessa (Khessa x Lujanne),Raydia (Rayla x Claudia),Momjanne (Ellis's mom x Lujanne),Corvia (Corvus x Claudia),Soryx (Soren x Nyx),Priestessa (Khessa x Sunfire Priest),Pyrren (Pyrrah x Soren),Runaavos (Runaan x Aaravos),Virpeli (Opeli x Viren),Gremaya (Gren x Amaya),Lirai (Lissa x Sarai),Sarex (Sarai x Callum's dad)
25/06/2020 22:54:41,Sorcos (Soren x Marcos),Sorayla (Soren x Rayla),Claravos (Claudia x Aaravos),Ibyx (Ibis x Nyx),Lujessa (Khessa x Lujanne),I don't want to vote for either of these ships,Khessanai (Khessa x Janai),I don't want to vote for either of these ships,I don't want to vote for either of these ships,Priestessa (Khessa x Sunfire Priest),Pyrren (Pyrrah x Soren),I don't want to vote for either of these ships,Doctorjanne (Animal Doctor x Lujanne),Gremaya (Gren x Amaya),Aarajanne (Aaravos x Lujanne),Sapeli (Saleer x Opeli)
25/06/2020 23:22:48,,,,,,,,,,,Pyrren (Pyrrah x Soren),,,,,Sarex (Sarai x Callum's dad)
25/06/2020 23:24:23,I don't want to vote for either of these ships,I don't want to vote for either of these ships,I don't want to vote for either of these ships,I don't want to vote for either of these ships,I don't want to vote for either of these ships,I don't want to vote for either of these ships,Momjanne (Ellis's mom x Lujanne),I don't want to vote for either of these ships,I don't want to vote for either of these ships,I don't want to vote for either of these ships,Pyrren (Pyrrah x Soren),I don't want to vote for either of these ships,Doctorjanne (Animal Doctor x Lujanne),Gremaya (Gren x Amaya),I don't want to vote for either of these ships,Sarex (Sarai x Callum's dad)
25/06/2020 23:49:09,Sorcos (Soren x Marcos),Sorgren (Soren x Gren),I don't want to vote for either of these ships,Ibyx (Ibis x Nyx),I don't want to vote for either of these ships,Ziravos (Ziard x Aaravos),I don't want to vote for either of these ships,Crowcos (Marcos x Crow Master),Soryx (Soren x Nyx),Sabazi (Sabah x Kazi),Sabos (Sabah x Marcos),I don't want to vote for either of these ships,Virpeli (Opeli x Viren),Gremaya (Gren x Amaya),I don't want to vote for either of these ships,Sarex (Sarai x Callum's dad)
26/06/2020 02:37:06,Saravos (Sarai x Aaravos),Sorayla (Soren x Rayla),Claravos (Claudia x Aaravos),Ibyx (Ibis x Nyx),Floreeda (Fareeda x Florian),Raydia (Rayla x Claudia),Khessanai (Khessa x Janai),Crowcos (Marcos x Crow Master),Soryx (Soren x Nyx),Sabazi (Sabah x Kazi),Sabos (Sabah x Marcos),Runaavos (Runaan x Aaravos),Virpeli (Opeli x Viren),Gremaya (Gren x Amaya),Aarajanne (Aaravos x Lujanne),Sarex (Sarai x Callum's dad)
26/06/2020 03:27:12,Saravos (Sarai x Aaravos),Sorgren (Soren x Gren),Claravos (Claudia x Aaravos),Ibyx (Ibis x Nyx),Floreeda (Fareeda x Florian),Raydia (Rayla x Claudia),Khessanai (Khessa x Janai),Crowcos (Marcos x Crow Master),Soryx (Soren x Nyx),Sabazi (Sabah x Kazi),Pyrren (Pyrrah x Soren),Runaavos (Runaan x Aaravos),Virpeli (Opeli x Viren),Gremaya (Gren x Amaya),Lirai (Lissa x Sarai),Sarex (Sarai x Callum's dad)
26/06/2020 05:15:32,,,,,,,,,,,Pyrren (Pyrrah x Soren),,Doctorjanne (Animal Doctor x Lujanne),Gremaya (Gren x Amaya),,Sarex (Sarai x Callum's dad)
26/06/2020 05:24:53,Sorcos (Soren x Marcos),Sorgren (Soren x Gren),Claravos (Claudia x Aaravos),Ibyx (Ibis x Nyx),Lujessa (Khessa x Lujanne),Raydia (Rayla x Claudia),Momjanne (Ellis's mom x Lujanne),Corvia (Corvus x Claudia),Soryx (Soren x Nyx),Sabazi (Sabah x Kazi),Sabos (Sabah x Marcos),Vircrow (Viren x Crow Master),Virpeli (Opeli x Viren),Annai (Annika x Janai),Aarajanne (Aaravos x Lujanne),Sarex (Sarai x Callum's dad)
26/06/2020 09:44:01,Sorcos (Soren x Marcos),Sorayla (Soren x Rayla),Farenika (Fareeda x Annika),Ibyx (Ibis x Nyx),Lujessa (Khessa x Lujanne),Raydia (Rayla x Claudia),Momjanne (Ellis's mom x Lujanne),Crowcos (Marcos x Crow Master),Sorcrow (Soren x Crow Master),Sabazi (Sabah x Kazi),Sabos (Sabah x Marcos),Runaavos (Runaan x Aaravos),Virpeli (Opeli x Viren),Gremaya (Gren x Amaya),Lirai (Lissa x Sarai),Sarex (Sarai x Callum's dad)
26/06/2020 15:19:06,Sorcos (Soren x Marcos),Sorgren (Soren x Gren),Claravos (Claudia x Aaravos),I don't want to vote for either of these ships,I don't want to vote for either of these ships,Raydia (Rayla x Claudia),I don't want to vote for either of these ships,I don't want to vote for either of these ships,I don't want to vote for either of these ships,Sabazi (Sabah x Kazi),Sabos (Sabah x Marcos),I don't want to vote for either of these ships,Virpeli (Opeli x Viren),Gremaya (Gren x Amaya),I don't want to vote for either of these ships,Sarex (Sarai x Callum's dad)
26/06/2020 15:25:21,I don't want to vote for either of these ships,Sorayla (Soren x Rayla),I don't want to vote for either of these ships,Ibyx (Ibis x Nyx),Lujessa (Khessa x Lujanne),Raydia (Rayla x Claudia),I don't want to vote for either of these ships,Corvia (Corvus x Claudia),Sorcrow (Soren x Crow Master),Sabazi (Sabah x Kazi),Pyrren (Pyrrah x Soren),I don't want to vote for either of these ships,Doctorjanne (Animal Doctor x Lujanne),Gremaya (Gren x Amaya),,Sarex (Sarai x Callum's dad)
26/06/2020 17:28:56,Sorcos (Soren x Marcos),Sorgren (Soren x Gren),Claravos (Claudia x Aaravos),Ibyx (Ibis x Nyx),Floreeda (Fareeda x Florian),Ziravos (Ziard x Aaravos),Momjanne (Ellis's mom x Lujanne),Crowcos (Marcos x Crow Master),Soryx (Soren x Nyx),Priestessa (Khessa x Sunfire Priest),Sabos (Sabah x Marcos),Vircrow (Viren x Crow Master),Virpeli (Opeli x Viren),Gremaya (Gren x Amaya),Lirai (Lissa x Sarai),Sarex (Sarai x Callum's dad)
26/06/2020 17:41:58,Sorcos (Soren x Marcos),Sorayla (Soren x Rayla),Claravos (Claudia x Aaravos),Ibyx (Ibis x Nyx),Floreeda (Fareeda x Florian),Ziravos (Ziard x Aaravos),Momjanne (Ellis's mom x Lujanne),Crowcos (Marcos x Crow Master),Sorcrow (Soren x Crow Master),Priestessa (Khessa x Sunfire Priest),Sabos (Sabah x Marcos),Runaavos (Runaan x Aaravos),Virpeli (Opeli x Viren),Gremaya (Gren x Amaya),Aarajanne (Aaravos x Lujanne),Sarex (Sarai x Callum's dad)
26/06/2020 18:17:41,Saravos (Sarai x Aaravos),Sorayla (Soren x Rayla),Claravos (Claudia x Aaravos),Ibyx (Ibis x Nyx),Floreeda (Fareeda x Florian),Raydia (Rayla x Claudia),I don't want to vote for either of these ships,I don't want to vote for either of these ships,Soryx (Soren x Nyx),Priestessa (Khessa x Sunfire Priest),Sabos (Sabah x Marcos),I don't want to vote for either of these ships,Doctorjanne (Animal Doctor x Lujanne),Gremaya (Gren x Amaya),Aarajanne (Aaravos x Lujanne),Sarex (Sarai x Callum's dad)
26/06/2020 23:43:01,Sorcos (Soren x Marcos),Sorgren (Soren x Gren),Farenika (Fareeda x Annika),Ibyx (Ibis x Nyx),Floreeda (Fareeda x Florian),Raydia (Rayla x Claudia),Momjanne (Ellis's mom x Lujanne),Crowcos (Marcos x Crow Master),Sorcrow (Soren x Crow Master),Sabazi (Sabah x Kazi),Sabos (Sabah x Marcos),Runaavos (Runaan x Aaravos),Virpeli (Opeli x Viren),Annai (Annika x Janai),Lirai (Lissa x Sarai),Sarex (Sarai x Callum's dad)
27/06/2020 00:17:14,I don't want to vote for either of these ships,I don't want to vote for either of these ships,Claravos (Claudia x Aaravos),Ibyx (Ibis x Nyx),I don't want to vote for either of these ships,I don't want to vote for either of these ships,I don't want to vote for either of these ships,I don't want to vote for either of these ships,Soryx (Soren x Nyx),I don't want to vote for either of these ships,Sabos (Sabah x Marcos),I don't want to vote for either of these ships,Virpeli (Opeli x Viren),Gremaya (Gren x Amaya),Aarajanne (Aaravos x Lujanne),I don't want to vote for either of these ships
27/06/2020 03:08:05,Sorcos (Soren x Marcos),Sorayla (Soren x Rayla),Claravos (Claudia x Aaravos),Ibyx (Ibis x Nyx),Lujessa (Khessa x Lujanne),Raydia (Rayla x Claudia),Momjanne (Ellis's mom x Lujanne),Crowcos (Marcos x Crow Master),Sorcrow (Soren x Crow Master),Sabazi (Sabah x Kazi),Sabos (Sabah x Marcos),I don't want to vote for either of these ships,Doctorjanne (Animal Doctor x Lujanne),Gremaya (Gren x Amaya),Aarajanne (Aaravos x Lujanne),Sarex (Sarai x Callum's dad)
27/06/2020 05:13:01,Sorcos (Soren x Marcos),Sorgren (Soren x Gren),Farenika (Fareeda x Annika),Salvir (Viren x Saleer),Floreeda (Fareeda x Florian),Ziravos (Ziard x Aaravos),Momjanne (Ellis's mom x Lujanne),Crowcos (Marcos x Crow Master),Sorcrow (Soren x Crow Master),Priestessa (Khessa x Sunfire Priest),Pyrren (Pyrrah x Soren),Vircrow (Viren x Crow Master),Virpeli (Opeli x Viren),Annai (Annika x Janai),Lirai (Lissa x Sarai),Sapeli (Saleer x Opeli)
27/06/2020 06:33:04,Saravos (Sarai x Aaravos),Sorgren (Soren x Gren),Farenika (Fareeda x Annika),Ibyx (Ibis x Nyx),Lujessa (Khessa x Lujanne),Raydia (Rayla x Claudia),Khessanai (Khessa x Janai),I don't want to vote for either of these ships,I don't want to vote for either of these ships,Sabazi (Sabah x Kazi),Sabos (Sabah x Marcos),Runaavos (Runaan x Aaravos),I don't want to vote for either of these ships,Annai (Annika x Janai),Lirai (Lissa x Sarai),Sarex (Sarai x Callum's dad)
27/06/2020 07:43:30,Sorcos (Soren x Marcos),Sorgren (Soren x Gren),Claravos (Claudia x Aaravos),Ibyx (Ibis x Nyx),Lujessa (Khessa x Lujanne),Raydia (Rayla x Claudia),Momjanne (Ellis's mom x Lujanne),Corvia (Corvus x Claudia),Soryx (Soren x Nyx),Sabazi (Sabah x Kazi),Sabos (Sabah x Marcos),Vircrow (Viren x Crow Master),Virpeli (Opeli x Viren),Annai (Annika x Janai),Aarajanne (Aaravos x Lujanne),Sarex (Sarai x Callum's dad)
27/06/2020 07:43:38,Sorcos (Soren x Marcos),Sorgren (Soren x Gren),Claravos (Claudia x Aaravos),Ibyx (Ibis x Nyx),Lujessa (Khessa x Lujanne),Raydia (Rayla x Claudia),Momjanne (Ellis's mom x Lujanne),Corvia (Corvus x Claudia),Soryx (Soren x Nyx),Sabazi (Sabah x Kazi),Sabos (Sabah x Marcos),Vircrow (Viren x Crow Master),Virpeli (Opeli x Viren),Annai (Annika x Janai),Aarajanne (Aaravos x Lujanne),Sarex (Sarai x Callum's dad)
27/06/2020 07:49:45,Sorcos (Soren x Marcos),Sorgren (Soren x Gren),Claravos (Claudia x Aaravos),Ibyx (Ibis x Nyx),Floreeda (Fareeda x Florian),Raydia (Rayla x Claudia),Momjanne (Ellis's mom x Lujanne),Corvia (Corvus x Claudia),Sorcrow (Soren x Crow Master),Priestessa (Khessa x Sunfire Priest),Sabos (Sabah x Marcos),Vircrow (Viren x Crow Master),Virpeli (Opeli x Viren),Annai (Annika x Janai),Aarajanne (Aaravos x Lujanne),Sarex (Sarai x Callum's dad)
27/06/2020 13:33:16,I don't want to vote for either of these ships,I don't want to vote for either of these ships,I don't want to vote for either of these ships,I don't want to vote for either of these ships,I don't want to vote for either of these ships,I don't want to vote for either of these ships,I don't want to vote for either of these ships,,,I don't want to vote for either of these ships,I don't want to vote for either of these ships,I don't want to vote for either of these ships,Doctorjanne (Animal Doctor x Lujanne),Gremaya (Gren x Amaya),Aarajanne (Aaravos x Lujanne),Sarex (Sarai x Callum's dad)
28/06/2020 22:04:45,Sorcos (Soren x Marcos),Sorayla (Soren x Rayla),Farenika (Fareeda x Annika),Ibyx (Ibis x Nyx),Floreeda (Fareeda x Florian),Raydia (Rayla x Claudia),Momjanne (Ellis's mom x Lujanne),Crowcos (Marcos x Crow Master),Sorcrow (Soren x Crow Master),Priestessa (Khessa x Sunfire Priest),Sabos (Sabah x Marcos),Runaavos (Runaan x Aaravos),Doctorjanne (Animal Doctor x Lujanne),Gremaya (Gren x Amaya),Lirai (Lissa x Sarai),Sarex (Sarai x Callum's dad)
29/06/2020 00:08:02,Sorcos (Soren x Marcos),Sorayla (Soren x Rayla),Farenika (Fareeda x Annika),Ibyx (Ibis x Nyx),Floreeda (Fareeda x Florian),Raydia (Rayla x Claudia),Khessanai (Khessa x Janai),Crowcos (Marcos x Crow Master),Soryx (Soren x Nyx),I don't want to vote for either of these ships,Sabos (Sabah x Marcos),Runaavos (Runaan x Aaravos),Virpeli (Opeli x Viren),Gremaya (Gren x Amaya),I don't want to vote for either of these ships,Sarex (Sarai x Callum's dad)
29/06/2020 04:14:28,Sorcos (Soren x Marcos),Sorayla (Soren x Rayla),Farenika (Fareeda x Annika),Ibyx (Ibis x Nyx),Lujessa (Khessa x Lujanne),Ziravos (Ziard x Aaravos),I don't want to vote for either of these ships,Crowcos (Marcos x Crow Master),Soryx (Soren x Nyx),Priestessa (Khessa x Sunfire Priest),Sabos (Sabah x Marcos),Runaavos (Runaan x Aaravos),Doctorjanne (Animal Doctor x Lujanne),Gremaya (Gren x Amaya),I don't want to vote for either of these ships,Sarex (Sarai x Callum's dad)